Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,OffenseTeam,DefenseTeam,PlayType,PlayDirection
2,7,8,2,7,28,1,SHOTGUN,OWN,KC,LAC,RUSH,RIGHT END
3,14,26,1,10,52,0,UNDER CENTER,OPP,ARI,WAS,RUSH,CENTER
3,11,8,1,1,99,1,UNDER CENTER,OPP,BUF,LAC,RUSH,CENTER
1,1,16,3,1,94,1,UNDER CENTER,OPP,MIA,NYJ,RUSH,CENTER
2,14,37,2,1,89,1,NO HUDDLE,OPP,LA,ARI,RUSH,RIGHT END
2,9,26,1,10,89,0,SHOTGUN,OPP,NYJ,CLE,RUSH,LEFT END
3,2,14,1,10,58,0,UNDER CENTER,OPP,ATL,NO,RUSH,RIGHT END
2,8,54,1,10,25,0,UNDER CENTER,OWN,TEN,JAX,RUSH,LEFT END
3,2,48,1,3,97,1,NO HUDDLE,OPP,SF,KC,RUSH,CENTER
1,11,26,1,12,2,0,UNDER CENTER,OWN,OAK,MIA,RUSH,LEFT END
1,8,18,1,10,21,1,UNDER CENTER,OWN,WAS,GB,RUSH,RIGHT TACKLE
1,6,54,2,1,43,0,SHOTGUN,OWN,WAS,GB,RUSH,RIGHT END
1,6,22,1,10,40,0,SHOTGUN,OWN,WAS,GB,RUSH,LEFT END
1,5,29,1,10,72,0,SHOTGUN,OPP,WAS,GB,RUSH,LEFT END
1,5,18,1,10,37,0,UNDER CENTER,OWN,TB,PIT,RUSH,RIGHT END
4,13,30,1,10,25,0,SHOTGUN,OWN,CHI,TB,RUSH,LEFT GUARD
3,9,14,1,10,33,0,UNDER CENTER,OWN,NYJ,JAX,RUSH,CENTER
2,10,58,1,10,30,0,UNDER CENTER,OWN,CLE,OAK,RUSH,RIGHT END
2,10,25,2,5,35,0,SHOTGUN,OWN,CLE,OAK,RUSH,RIGHT TACKLE
2,13,48,1,10,87,0,SHOTGUN,OPP,BAL,PIT,RUSH,RIGHT TACKLE
2,12,45,1,2,98,0,UNDER CENTER,OPP,BAL,PIT,RUSH,LEFT GUARD
3,9,30,3,2,75,1,SHOTGUN,OPP,BAL,CLE,RUSH,RIGHT GUARD
3,8,52,1,10,78,0,SHOTGUN,OPP,BAL,CLE,RUSH,CENTER
2,12,27,1,10,78,0,NO HUDDLE,OPP,KC,DEN,RUSH,RIGHT TACKLE
1,8,37,1,10,25,0,UNDER CENTER,OWN,CLE,BAL,RUSH,RIGHT GUARD
4,6,40,1,10,84,0,UNDER CENTER,OPP,NYJ,DEN,RUSH,RIGHT GUARD
4,5,57,2,9,85,0,UNDER CENTER,OPP,NYJ,DEN,RUSH,CENTER
1,10,45,1,2,98,1,UNDER CENTER,OPP,NO,WAS,RUSH,LEFT GUARD
4,8,7,1,10,66,0,NO HUDDLE SHOTGUN,OPP,NYG,PHI,RUSH,LEFT GUARD
3,6,14,2,8,30,0,UNDER CENTER,OWN,CIN,PIT,RUSH,LEFT GUARD
1,8,1,2,10,60,0,UNDER CENTER,OPP,CLE,LAC,RUSH,RIGHT GUARD
1,7,4,1,10,4,0,UNDER CENTER,OWN,LAC,CLE,RUSH,LEFT GUARD
2,12,8,2,5,30,1,UNDER CENTER,OWN,LAC,CLE,RUSH,RIGHT TACKLE
2,11,31,1,10,43,0,SHOTGUN,OWN,LAC,CLE,RUSH,RIGHT TACKLE
3,8,54,1,10,20,0,SHOTGUN,OWN,SEA,OAK,RUSH,RIGHT GUARD
3,8,6,1,10,33,0,UNDER CENTER,OWN,SEA,OAK,RUSH,LEFT GUARD
3,6,49,1,10,48,0,UNDER CENTER,OWN,SEA,OAK,RUSH,LEFT END
3,5,21,1,10,17,0,UNDER CENTER,OWN,OAK,SEA,RUSH,LEFT GUARD
3,6,14,4,1,46,1,SHOTGUN,OWN,KC,NE,RUSH,RIGHT TACKLE
3,5,42,1,10,49,1,SHOTGUN,OWN,KC,NE,RUSH,CENTER
3,5,11,1,10,80,0,SHOTGUN,OPP,KC,NE,RUSH,CENTER
3,3,36,1,10,25,1,UNDER CENTER,OWN,NE,KC,RUSH,LEFT GUARD
2,14,19,1,10,77,0,UNDER CENTER,OPP,TEN,LAC,RUSH,LEFT TACKLE
2,13,43,2,9,78,0,SHOTGUN,OPP,TEN,LAC,RUSH,LEFT GUARD
2,12,45,1,10,18,0,UNDER CENTER,OWN,LAC,TEN,RUSH,RIGHT GUARD
1,4,41,2,10,69,0,SHOTGUN,OPP,CHI,NE,RUSH,LEFT GUARD
4,14,14,2,10,65,1,UNDER CENTER,OPP,KC,CIN,RUSH,LEFT END
4,13,20,1,10,90,0,SHOTGUN,OPP,KC,CIN,RUSH,RIGHT END
2,7,33,1,10,25,0,SHOTGUN,OWN,DET,MIA,RUSH,LEFT END
2,4,12,1,10,52,0,SHOTGUN,OPP,DET,MIA,RUSH,CENTER
2,2,43,1,10,65,1,UNDER CENTER,OPP,DET,MIA,RUSH,RIGHT GUARD
3,8,32,1,10,25,0,SHOTGUN,OWN,MIA,DET,RUSH,CENTER
3,7,15,2,10,46,1,UNDER CENTER,OWN,MIA,DET,RUSH,LEFT TACKLE
3,4,8,1,10,68,0,SHOTGUN,OPP,CHI,NYJ,RUSH,LEFT GUARD
3,1,20,1,10,37,1,UNDER CENTER,OWN,TB,CIN,RUSH,LEFT GUARD
1,7,43,3,1,99,1,UNDER CENTER,OPP,DEN,KC,RUSH,CENTER
3,0,15,3,7,93,0,SHOTGUN,OPP,DEN,KC,RUSH,CENTER
1,10,30,3,1,56,1,UNDER CENTER,OPP,IND,OAK,RUSH,LEFT END
4,6,22,2,1,99,0,UNDER CENTER,OPP,BUF,CHI,RUSH,CENTER
1,14,56,1,10,35,0,UNDER CENTER,OWN,MIN,DET,RUSH,RIGHT END
4,1,43,2,7,50,0,UNDER CENTER,OPP,LAC,SEA,RUSH,LEFT TACKLE
1,12,19,3,1,90,1,NO HUDDLE,OPP,NE,GB,RUSH,CENTER
1,1,52,2,4,43,0,UNDER CENTER,OWN,TEN,DAL,RUSH,CENTER
2,15,0,1,10,55,0,UNDER CENTER,OPP,TEN,DAL,RUSH,RIGHT END
2,13,38,3,1,64,1,SHOTGUN,OPP,TEN,DAL,RUSH,RIGHT TACKLE
2,12,57,1,10,76,0,SHOTGUN,OPP,TEN,DAL,RUSH,LEFT TACKLE
2,12,21,2,9,77,1,UNDER CENTER,OPP,TEN,DAL,RUSH,LEFT END
2,11,0,2,5,94,0,UNDER CENTER,OPP,TEN,DAL,RUSH,RIGHT END
2,2,22,3,1,41,1,UNDER CENTER,OWN,DAL,TEN,RUSH,CENTER
4,3,30,2,10,65,0,SHOTGUN,OPP,ARI,KC,RUSH,CENTER
1,7,28,2,8,3,0,UNDER CENTER,OWN,LAC,OAK,RUSH,LEFT GUARD
3,10,49,1,10,89,0,NO HUDDLE SHOTGUN,OPP,PHI,DAL,RUSH,LEFT END
3,9,36,1,10,25,1,UNDER CENTER,OWN,DAL,PHI,RUSH,LEFT END
3,8,59,1,10,40,1,UNDER CENTER,OWN,DAL,PHI,RUSH,LEFT TACKLE
3,8,38,1,10,75,0,UNDER CENTER,OPP,DAL,PHI,RUSH,RIGHT END
4,11,34,1,10,26,0,SHOTGUN,OWN,PHI,DAL,RUSH,RIGHT TACKLE
1,9,56,1,10,62,0,UNDER CENTER,OPP,SEA,GB,RUSH,RIGHT END
3,6,55,1,10,35,0,UNDER CENTER,OWN,CLE,BAL,RUSH,LEFT GUARD
3,5,22,1,10,21,0,SHOTGUN,OWN,BAL,CLE,RUSH,RIGHT GUARD
3,4,26,2,19,12,0,SHOTGUN,OWN,BAL,CLE,RUSH,RIGHT GUARD
1,14,22,2,2,32,0,NO HUDDLE,OWN,CIN,BAL,RUSH,LEFT GUARD
1,14,26,2,2,33,0,UNDER CENTER,OWN,MIN,CHI,RUSH,RIGHT TACKLE
1,13,41,3,1,34,0,UNDER CENTER,OWN,MIN,CHI,RUSH,RIGHT GUARD
3,3,7,2,3,20,0,UNDER CENTER,OWN,CAR,DET,RUSH,CENTER
3,2,24,3,1,22,1,SHOTGUN,OWN,CAR,DET,RUSH,LEFT TACKLE
3,8,39,1,10,75,0,UNDER CENTER,OPP,WAS,HOU,RUSH,LEFT GUARD
3,9,27,2,6,82,1,UNDER CENTER,OPP,PIT,JAX,RUSH,CENTER
3,8,43,1,10,89,0,UNDER CENTER,OPP,PIT,JAX,RUSH,CENTER
3,7,19,1,10,46,0,SHOTGUN,OWN,JAX,PIT,RUSH,CENTER
3,7,2,2,9,47,0,SHOTGUN,OWN,JAX,PIT,RUSH,CENTER
3,5,55,1,10,59,0,UNDER CENTER,OPP,JAX,PIT,RUSH,CENTER
3,5,11,2,6,63,0,SHOTGUN,OPP,JAX,PIT,RUSH,CENTER
3,2,53,1,4,96,0,UNDER CENTER,OPP,JAX,PIT,RUSH,CENTER
3,2,12,2,2,98,0,UNDER CENTER,OPP,JAX,PIT,RUSH,CENTER
4,1,7,1,10,20,0,UNDER CENTER,OWN,CHI,DET,RUSH,CENTER
3,7,32,1,10,19,0,UNDER CENTER,OWN,BUF,JAX,RUSH,RIGHT END
4,4,20,1,10,6,0,UNDER CENTER,OWN,MIA,IND,RUSH,CENTER
3,2,32,1,10,45,0,UNDER CENTER,OWN,TB,SF,RUSH,LEFT GUARD
1,8,55,1,10,51,0,UNDER CENTER,OPP,DEN,PIT,RUSH,RIGHT GUARD
1,11,25,2,4,31,0,UNDER CENTER,OWN,HOU,TEN,RUSH,LEFT END
1,10,8,1,10,31,0,UNDER CENTER,OWN,TEN,HOU,RUSH,LEFT END
4,5,7,1,10,55,1,SHOTGUN,OPP,DAL,NO,RUSH,CENTER
4,5,21,1,10,75,0,SHOTGUN,OPP,DET,LA,RUSH,CENTER
3,6,15,1,10,73,0,UNDER CENTER,OPP,ARI,GB,RUSH,CENTER
3,5,18,1,10,25,0,UNDER CENTER,OWN,GB,ARI,RUSH,RIGHT GUARD
3,4,16,3,1,34,0,NO HUDDLE SHOTGUN,OWN,GB,ARI,RUSH,RIGHT END
3,2,57,1,10,68,1,UNDER CENTER,OPP,ARI,GB,RUSH,RIGHT GUARD
4,10,1,1,10,22,1,UNDER CENTER,OWN,GB,ARI,RUSH,RIGHT END
4,7,57,1,10,54,0,SHOTGUN,OPP,GB,ARI,RUSH,RIGHT END
4,14,26,1,10,49,0,UNDER CENTER,OWN,HOU,CLE,RUSH,LEFT TACKLE
4,13,43,2,8,51,0,UNDER CENTER,OPP,HOU,CLE,RUSH,RIGHT GUARD
1,11,49,1,10,67,0,UNDER CENTER,OPP,MIA,BUF,RUSH,CENTER
1,11,9,2,6,71,1,UNDER CENTER,OPP,MIA,BUF,RUSH,LEFT GUARD
3,11,19,1,10,28,0,UNDER CENTER,OWN,SEA,SF,RUSH,RIGHT END
3,10,51,1,20,18,0,SHOTGUN,OWN,SEA,SF,RUSH,RIGHT END
1,10,39,1,10,79,0,UNDER CENTER,OPP,PHI,WAS,RUSH,RIGHT END
3,0,42,1,10,83,0,SHOTGUN,OPP,PHI,WAS,RUSH,LEFT END
2,7,30,4,1,99,0,UNDER CENTER,OPP,JAX,TEN,RUSH,LEFT TACKLE
1,14,10,2,1,32,1,SHOTGUN,OWN,CHI,LA,RUSH,RIGHT GUARD
1,6,28,2,4,33,1,UNDER CENTER,OWN,ATL,GB,RUSH,RIGHT END
1,5,57,1,10,37,1,UNDER CENTER,OWN,ATL,GB,RUSH,CENTER
1,5,27,1,10,50,0,UNDER CENTER,OPP,ATL,GB,RUSH,LEFT TACKLE
1,4,11,1,10,63,0,NO HUDDLE,OPP,ATL,GB,RUSH,LEFT END
4,8,8,1,10,59,0,UNDER CENTER,OPP,MIN,SEA,RUSH,LEFT END
4,6,54,3,1,68,1,UNDER CENTER,OPP,MIN,SEA,RUSH,CENTER
4,6,34,1,10,70,0,UNDER CENTER,OPP,MIN,SEA,RUSH,LEFT TACKLE
4,5,9,2,5,51,0,SHOTGUN,OPP,BAL,TB,RUSH,RIGHT GUARD
2,0,57,1,10,13,1,SHOTGUN,OWN,BUF,DET,RUSH,CENTER
2,0,4,3,8,25,0,SHOTGUN,OWN,BUF,DET,RUSH,CENTER
3,4,55,2,3,86,0,UNDER CENTER,OPP,BUF,DET,RUSH,LEFT GUARD
1,2,53,3,1,89,1,SHOTGUN,OPP,CHI,GB,RUSH,LEFT GUARD
4,2,55,3,10,8,0,SHOTGUN,OWN,CHI,GB,RUSH,LEFT TACKLE
3,2,33,2,10,25,1,UNDER CENTER,OWN,CIN,OAK,RUSH,CENTER
3,2,9,1,10,36,0,SHOTGUN,OWN,CIN,OAK,RUSH,LEFT GUARD
4,4,16,1,10,41,0,UNDER CENTER,OWN,IND,DAL,RUSH,RIGHT END
4,4,12,2,10,41,0,UNDER CENTER,OWN,IND,DAL,RUSH,LEFT END
1,8,51,1,10,19,0,SHOTGUN,OWN,JAX,WAS,RUSH,CENTER
4,8,30,3,8,60,1,UNDER CENTER,OPP,TEN,NYG,RUSH,LEFT TACKLE
4,7,44,1,10,77,1,UNDER CENTER,OPP,TEN,NYG,RUSH,LEFT TACKLE
4,6,38,1,15,83,0,UNDER CENTER,OPP,TEN,NYG,RUSH,LEFT END
2,3,3,1,10,19,0,UNDER CENTER,OWN,NE,PIT,RUSH,CENTER
3,3,36,2,8,62,1,UNDER CENTER,OPP,NE,PIT,RUSH,RIGHT TACKLE
1,0,20,1,10,53,0,UNDER CENTER,OPP,NO,CAR,RUSH,RIGHT GUARD
4,6,16,2,3,57,0,SHOTGUN,OPP,NO,CAR,RUSH,RIGHT END
4,4,59,1,10,61,1,UNDER CENTER,OPP,NO,CAR,RUSH,RIGHT GUARD
2,14,2,2,7,60,0,SHOTGUN,OPP,JAX,MIA,RUSH,LEFT TACKLE
1,3,46,2,3,37,0,UNDER CENTER,OWN,CIN,CLE,RUSH,RIGHT TACKLE
2,6,25,1,10,36,0,UNDER CENTER,OWN,CIN,CLE,RUSH,LEFT GUARD
4,4,52,1,10,28,0,UNDER CENTER,OWN,CLE,CIN,RUSH,RIGHT GUARD
1,14,58,1,10,25,0,UNDER CENTER,OWN,DET,MIN,RUSH,RIGHT TACKLE
1,14,24,2,6,29,0,UNDER CENTER,OWN,DET,MIN,RUSH,RIGHT TACKLE
1,13,49,3,1,34,1,UNDER CENTER,OWN,DET,MIN,RUSH,CENTER
1,13,5,2,10,63,0,UNDER CENTER,OPP,DET,MIN,RUSH,RIGHT TACKLE
1,11,36,1,11,1,0,UNDER CENTER,OWN,MIN,DET,RUSH,CENTER
4,11,25,2,10,37,1,UNDER CENTER,OWN,DET,MIN,RUSH,RIGHT TACKLE
1,10,18,1,10,40,0,SHOTGUN,OWN,PIT,NO,RUSH,LEFT END
3,11,35,2,10,78,0,SHOTGUN,OPP,NO,PIT,RUSH,RIGHT GUARD
4,13,28,1,10,36,0,UNDER CENTER,OWN,PIT,NO,RUSH,RIGHT TACKLE
4,11,2,2,3,65,0,SHOTGUN,OPP,PIT,NO,RUSH,RIGHT GUARD
4,10,21,3,2,66,0,UNDER CENTER,OPP,PIT,NO,RUSH,RIGHT GUARD
4,8,58,1,10,81,1,UNDER CENTER,OPP,SEA,KC,RUSH,CENTER
1,1,35,3,9,38,0,SHOTGUN,OWN,DEN,OAK,RUSH,CENTER
2,13,31,1,10,11,0,UNDER CENTER,OWN,OAK,DEN,RUSH,CENTER
1,6,51,1,10,62,0,SHOTGUN,OPP,BAL,CLE,RUSH,RIGHT GUARD
1,6,10,1,10,69,0,SHOTGUN,OPP,BAL,CLE,RUSH,RIGHT GUARD
1,4,52,3,4,75,1,SHOTGUN,OPP,BAL,CLE,RUSH,RIGHT GUARD
1,4,41,1,10,20,0,SHOTGUN,OWN,CLE,BAL,RUSH,RIGHT GUARD
2,8,51,1,10,84,0,SHOTGUN,OPP,BAL,CLE,RUSH,RIGHT GUARD
2,6,55,3,16,78,0,SHOTGUN,OPP,BAL,CLE,RUSH,CENTER
2,2,0,2,2,98,0,SHOTGUN,OPP,BAL,CLE,RUSH,RIGHT GUARD
2,1,53,3,1,99,1,UNDER CENTER,OPP,BAL,CLE,RUSH,CENTER
2,2,38,1,2,98,0,UNDER CENTER,OPP,BAL,CLE,RUSH,RIGHT GUARD
3,5,14,4,1,91,0,UNDER CENTER,OPP,NYJ,NE,RUSH,RIGHT GUARD
3,5,5,1,10,9,0,UNDER CENTER,OWN,NE,NYJ,RUSH,CENTER
3,3,57,1,10,20,1,UNDER CENTER,OWN,NE,NYJ,RUSH,CENTER
3,3,18,1,10,34,0,UNDER CENTER,OWN,NE,NYJ,RUSH,LEFT GUARD
4,3,42,1,10,88,0,UNDER CENTER,OPP,NE,NYJ,RUSH,RIGHT TACKLE
4,6,48,1,10,48,0,UNDER CENTER,OWN,CAR,NO,RUSH,LEFT GUARD
2,1,20,2,1,63,1,SHOTGUN,OPP,BAL,CLE,RUSH,LEFT GUARD
1,4,8,2,10,55,0,UNDER CENTER,OPP,DEN,LAC,RUSH,CENTER
2,3,25,1,10,79,0,UNDER CENTER,OPP,ARI,SEA,RUSH,RIGHT TACKLE
1,14,22,2,5,30,1,UNDER CENTER,OWN,ATL,PHI,RUSH,LEFT END
1,13,46,1,10,41,1,UNDER CENTER,OWN,ATL,PHI,RUSH,RIGHT END
1,10,51,1,10,2,0,SHOTGUN,OWN,PHI,ATL,RUSH,CENTER
