GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,,SeriesFirstDown,,NextScore,Description,TeamWin,,,SeasonYear,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,Challenger,IsMeasurement,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2018090908,2018-09-09,2,7,8,KC,LAC,2,7,28,,1,,0,(7:08) (SHOTGUN) 15-P.MAHOMES RIGHT END TO KC 36 FOR 8 YARDS (98-I.ROCHELL).,0,,,2018,8,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,28,OWN,0,,0,,0
2018090909,2018-09-09,3,14,26,ARI,WAS,1,10,52,,0,,0,(14:26) 31-D.JOHNSON UP THE MIDDLE TO WAS 47 FOR 1 YARD (95-D.PAYNE).,0,,,2018,1,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,CENTER,48,OPP,0,,0,,0
2018091601,2018-09-16,3,11,8,BUF,LAC,1,1,99,,1,,0,"(11:08) 33-C.IVORY UP THE MIDDLE FOR 1 YARD, TOUCHDOWN.",0,,,2018,1,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,CENTER,1,OPP,0,,0,,0
2018091604,2018-09-16,1,1,16,MIA,NYJ,3,1,94,,1,,0,"(1:16) 32-K.DRAKE UP THE MIDDLE FOR 6 YARDS, TOUCHDOWN.",0,,,2018,6,UNDER CENTER,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,CENTER,6,OPP,0,,0,,0
2018091609,2018-09-16,2,14,37,LA,ARI,2,1,89,,1,,0,"(14:37) (NO HUDDLE) 30-T.GURLEY RIGHT END FOR 11 YARDS, TOUCHDOWN.",0,,,2018,11,NO HUDDLE,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,RIGHT END,11,OPP,0,,0,,0
2018092000,2018-09-20,2,9,26,NYJ,CLE,1,10,89,,0,,0,(9:26) (SHOTGUN) 20-I.CROWELL LEFT END TO CLE 5 FOR 6 YARDS (39-T.MITCHELL).,0,,,2018,6,SHOTGUN,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT END,11,OPP,0,,0,,0
2018092300,2018-09-23,3,2,14,ATL,NO,1,10,58,,0,,0,(2:14) 25-I.SMITH RIGHT END TO NO 44 FOR -2 YARDS (90-J.BROMLEY).,0,,,2018,-2,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,RIGHT END,42,OPP,0,,0,,0
2018092304,2018-09-23,2,8,54,TEN,JAX,1,10,25,,0,,0,(8:54) 22-D.HENRY LEFT END TO TEN 28 FOR 3 YARDS (39-T.GIPSON).,0,,,2018,3,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT END,25,OWN,0,,0,,0
2018092305,2018-09-23,3,2,48,SF,KC,1,3,97,,1,,0,"(2:48) (NO HUDDLE) 46-A.MORRIS UP THE MIDDLE FOR 3 YARDS, TOUCHDOWN.",0,,,2018,3,NO HUDDLE,RUSH,1,0,0,1,,0,0,0,,0,0,0,0,0,0,CENTER,3,OPP,0,,0,,0
2018092306,2018-09-23,1,11,26,OAK,MIA,1,12,2,,0,,0,(11:26) 24-M.LYNCH LEFT END TO OAK 11 FOR 9 YARDS (25-X.HOWARD).,0,,,2018,9,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,,0,0,0,0,0,0,LEFT END,2,OWN,0,,0,,0
