Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,OffenseTeam,DefenseTeam
2,7,8,2,7,28,1,SHOTGUN,OWN,KC,LAC
3,14,26,1,10,52,0,UNDER CENTER,OPP,ARI,WAS
3,11,8,1,1,99,1,UNDER CENTER,OPP,BUF,LAC
1,1,16,3,1,94,1,UNDER CENTER,OPP,MIA,NYJ
2,14,37,2,1,89,1,NO HUDDLE,OPP,LA,ARI
2,9,26,1,10,89,0,SHOTGUN,OPP,NYJ,CLE
3,2,14,1,10,58,0,UNDER CENTER,OPP,ATL,NO
2,8,54,1,10,25,0,UNDER CENTER,OWN,TEN,JAX
3,2,48,1,3,97,1,NO HUDDLE,OPP,SF,KC
1,11,26,1,12,2,0,UNDER CENTER,OWN,OAK,MIA
1,8,18,1,10,21,1,UNDER CENTER,OWN,WAS,GB
1,6,54,2,1,43,0,SHOTGUN,OWN,WAS,GB
1,6,22,1,10,40,0,SHOTGUN,OWN,WAS,GB
1,5,29,1,10,72,0,SHOTGUN,OPP,WAS,GB
1,5,18,1,10,37,0,UNDER CENTER,OWN,TB,PIT
4,13,30,1,10,25,0,SHOTGUN,OWN,CHI,TB
3,9,14,1,10,33,0,UNDER CENTER,OWN,NYJ,JAX
2,10,58,1,10,30,0,UNDER CENTER,OWN,CLE,OAK
2,10,25,2,5,35,0,SHOTGUN,OWN,CLE,OAK
2,13,48,1,10,87,0,SHOTGUN,OPP,BAL,PIT
2,12,45,1,2,98,0,UNDER CENTER,OPP,BAL,PIT
3,9,30,3,2,75,1,SHOTGUN,OPP,BAL,CLE
3,8,52,1,10,78,0,SHOTGUN,OPP,BAL,CLE
2,12,27,1,10,78,0,NO HUDDLE,OPP,KC,DEN
1,8,37,1,10,25,0,UNDER CENTER,OWN,CLE,BAL
4,6,40,1,10,84,0,UNDER CENTER,OPP,NYJ,DEN
4,5,57,2,9,85,0,UNDER CENTER,OPP,NYJ,DEN
1,10,45,1,2,98,1,UNDER CENTER,OPP,NO,WAS
4,8,7,1,10,66,0,NO HUDDLE SHOTGUN,OPP,NYG,PHI
3,6,14,2,8,30,0,UNDER CENTER,OWN,CIN,PIT
1,8,1,2,10,60,0,UNDER CENTER,OPP,CLE,LAC
1,7,4,1,10,4,0,UNDER CENTER,OWN,LAC,CLE
2,12,8,2,5,30,1,UNDER CENTER,OWN,LAC,CLE
2,11,31,1,10,43,0,SHOTGUN,OWN,LAC,CLE
3,8,54,1,10,20,0,SHOTGUN,OWN,SEA,OAK
3,8,6,1,10,33,0,UNDER CENTER,OWN,SEA,OAK
3,6,49,1,10,48,0,UNDER CENTER,OWN,SEA,OAK
3,5,21,1,10,17,0,UNDER CENTER,OWN,OAK,SEA
3,6,14,4,1,46,1,SHOTGUN,OWN,KC,NE
3,5,42,1,10,49,1,SHOTGUN,OWN,KC,NE
3,5,11,1,10,80,0,SHOTGUN,OPP,KC,NE
3,3,36,1,10,25,1,UNDER CENTER,OWN,NE,KC
2,14,19,1,10,77,0,UNDER CENTER,OPP,TEN,LAC
